1,0A,0.81,618
2,1A,761,265
3,2A,877,521
4,3A,853,445
5,4A,785,508
6,5A,779,445
7,6A,528,189
8,7A,638,214
9,8A,785,534
10,9A,712,252
11,10A,497,265
12,11A,436,265
13,12A,0.11,269
14,13A,675,466
15,14A,528,0
16,15A,712,214
17,16A,288,0.45
18,17A,227,277
19,18A,601,206
20,19A,853,681
21,20A,405,168
22,21A,859,475
23,22A,558,193
24,23A,497,168
25,24A,466,168
26,25A,773,424
27,26A,933,731
28,27A,933,706
29,28A,644,0.5
30,29A,0.92,681
31,30A,0,231
32,31A,681,231
33,32A,546,601
34,33A,307,273
35,34A,853,311
36,35A,0.65,307
37,36A,546,269
38,37A,773,857
39,38A,589,282
40,39A,828,588
41,40A,736,269
42,41A,742,0.87
43,42A,681,307
44,43A,773,307
45,44A,896,576
46,45A,202,412
47,46A,356,269
48,47A,791,294
49,48A,822,361
50,49A,675,706
51,50A,748,672
52,51A,368,0.42
53,52A,779,479
54,53A,804,567
55,54A,951,824
56,55A,0.89,555
57,56A,865,492
58,57A,748,286
59,58A,656,223
60,59A,804,798
61,60A,822,761
62,61A,479,261
63,62A,325,437
64,63A,816,294
65,64A,748,0.42
66,65A,638,298
67,66A,877,643
68,67A,804,819
69,68A,975,887
70,69A,994,983
71,70A,963,861
72,71A,957,845
73,72A,945,794
74,73A,939,765
75,74A,877,534
76,75A,656,168
77,76A,663,483
78,77A,687,357
79,78A,147,277
80,79A,718,361
81,80A,871,0.63
82,81A,816,361
83,82A,785,324
84,83A,0.84,605
85,84A,902,618
86,85A,902,592
87,86A,908,643
88,87A,1,1
89,88A,712,887
90,89A,252,429
91,90A,0.73,231
92,91A,589,408
93,92A,595,0.55
94,93A,0.62,525
95,94A,748,248
96,95A,669,143
97,96A,687,0.34
98,97A,804,0.34
99,98A,515,109
100,99A,785,634
101,100A,865,584
102,101A,773,303
103,102A,779,303
104,103A,0.84,353
105,104A,0.81,315
106,105A,847,303
107,106A,773,647
108,107A,748,387
109,108A,393,273
110,109A,589,752
111,110A,0.84,403
112,111A,767,403
113,112A,429,0.16
114,113A,828,735
115,114A,834,0.71
116,115A,975,941
117,116A,601,735
118,117A,626,727
119,118A,644,723
120,119A,0.73,685
121,120A,472,412
122,121A,693,445
123,122A,687,193
124,123A,761,311
125,124A,528,412
126,125A,74,256
127,126A,0.73,332
128,127A,436,416
129,128A,706,693
130,129A,865,605
131,130A,564,0.58
132,131A,791,382
133,132A,399,0.42
134,133A,626,395
135,134A,503,126
136,135A,853,613
137,136A,497,139
138,137A,865,664
139,138A,687,908
140,139A,847,0.42
141,140A,834,382
142,141A,975,908
143,142A,521,626
144,143A,718,433
145,144A,822,332
146,145A,258,273
147,146A,994,1
148,147A,712,345
149,148A,644,387
150,149A,656,374
151,150A,43,244
