"V1","V2","V3"
0,0.497,0.168
1,0.528,0.189
2,0.558,0.193
3,0.601,0.206
4,0.638,0.214
5,0.656,0.223
6,0.681,0.231
7,0.712,0.252
8,0.736,0.269
9,0.748,0.286
10,0.773,0.307
11,0.779,0.303
12,0.761,0.311
13,0.73,0.332
14,0.712,0.345
15,0.785,0.324
16,0.804,0.34
17,0.791,0.294
18,0.816,0.294
19,0.847,0.303
20,0.853,0.311
21,0.81,0.315
22,0.822,0.332
23,0.84,0.353
24,0.687,0.34
25,0.718,0.361
26,0.748,0.387
27,0.816,0.361
28,0.791,0.382
29,0.834,0.382
30,0.84,0.403
31,0.847,0.42
32,0.853,0.445
33,0.859,0.475
34,0.865,0.492
35,0.877,0.521
36,0.877,0.534
37,0.89,0.555
38,0.767,0.403
39,0.773,0.424
40,0.779,0.445
41,0.779,0.479
42,0.785,0.508
43,0.785,0.534
44,0.804,0.567
45,0.828,0.588
46,0.84,0.605
47,0.896,0.576
48,0.865,0.584
49,0.865,0.605
50,0.853,0.613
53,0.497,0.139
54,0.503,0.126
55,0.515,0.109
56,0.528,0
57,0.466,0.168
58,0.429,0.16
59,0.405,0.168
60,0.761,0.265
61,0.748,0.248
62,0.73,0.231
63,0.712,0.214
64,0.687,0.193
65,0.656,0.168
66,0.669,0.143
67,0.546,0.269
68,0.497,0.265
69,0.479,0.261
70,0.436,0.265
71,0.393,0.273
72,0.356,0.269
73,0.307,0.273
74,0.258,0.273
75,0.227,0.277
76,0.147,0.277
77,0.11,0.269
78,0.074,0.256
79,0.043,0.244
80,0,0.231
81,0.681,0.307
82,0.65,0.307
83,0.638,0.298
84,0.589,0.282
85,0.687,0.357
86,0.656,0.374
87,0.644,0.387
88,0.626,0.395
89,0.589,0.408
90,0.528,0.412
91,0.472,0.412
92,0.436,0.416
93,0.399,0.42
94,0.368,0.42
95,0.325,0.437
96,0.288,0.45
97,0.252,0.429
98,0.202,0.412
99,0.748,0.42
100,0.718,0.433
101,0.693,0.445
102,0.675,0.466
103,0.663,0.483
104,0.644,0.5
105,0.62,0.525
106,0.595,0.55
107,0.564,0.58
108,0.546,0.601
109,0.521,0.626
110,0.902,0.592
111,0.902,0.618
112,0.908,0.643
113,0.92,0.681
114,0.933,0.706
115,0.933,0.731
116,0.939,0.765
117,0.945,0.794
118,0.951,0.824
119,0.957,0.845
120,0.963,0.861
121,0.975,0.887
122,0.975,0.908
123,0.975,0.941
124,0.994,0.983
125,1,1
126,0.81,0.618
127,0.785,0.634
128,0.773,0.647
129,0.748,0.672
130,0.73,0.685
131,0.706,0.693
132,0.675,0.706
133,0.644,0.723
134,0.626,0.727
135,0.601,0.735
136,0.589,0.752
137,0.871,0.63
138,0.877,0.643
139,0.865,0.664
140,0.853,0.681
141,0.834,0.71
142,0.828,0.735
143,0.822,0.761
144,0.804,0.798
145,0.804,0.819
146,0.773,0.857
147,0.742,0.87
148,0.712,0.887
149,0.687,0.908
